seq_idx	Date	Location	PANGO	Nextstrain	MutationCount	NCount	GapCount
322	None	Japan	B.1.1	20B	6	0	1
323	None	Japan	B.1	20C	7	0	1
324	None	Japan	B.40	19A	7	0	1
325	None	Japan	B.6	19A	9	0	1
326	None	Japan	B.1	20C	6	0	65
327	None	Japan	B.1.1.33	20B	11	0	1
328	None	Japan	B.1.1.33	20B	10	0	1
329	None	Japan	B.1.1.33	20B	10	0	1
330	None	Japan	B.1.1.28	20B	8	0	1
331	None	Japan	B.1.1	20B	8	0	1
332	None	Japan	B.6	19A	16	0	1
333	None	Japan	B.1.1.28	20B	10	0	1
334	None	Japan	B.1.1.28	20B	10	0	1
335	None	Japan	B.1	20A	8	0	1
336	None	Japan	B.1	20A	8	0	1
337	None	Japan	B.1	20C	6	0	1
338	None	Japan	B.1.1	20B	9	0	1
339	None	Japan	B.1.1	20B	10	0	1
340	None	Japan	B.1.1.370	20B	15	0	1
341	None	Japan	B.6	19A	7	0	1
342	None	Japan	B.6	19A	8	0	1
343	None	Japan	B.6	19A	8	0	1
344	None	Japan	B.6	19A	8	0	1
345	None	Japan	B.1	20A	9	0	1
346	None	Japan	B.1.1.33	20B	11	0	1
347	None	Japan	B.1.1.33	20B	12	0	1
348	None	Japan	B.1.1.1	20D	14	0	1
349	None	Japan	B.1.1	20B	10	0	1
350	None	Japan	B.1	20C	13	0	1
351	None	Japan	B.1	20A	11	0	1
352	None	Japan	B.1.1.1	20D	14	0	1
353	None	Japan	B.1.1.1	20D	12	0	1
354	None	Japan	C.13	20D	18	0	1
355	None	Japan	B.1	20A	14	0	1
356	None	Japan	B.1.1	20B	13	0	1
357	None	Japan	B.1.1.1	20D	16	0	1
358	None	Japan	B.1.1.28	20B	9	0	1
359	None	Japan	B.6	19A	9	0	1
360	None	Japan	B.1.36	20A	15	0	1
361	None	Japan	C.11	20D	13	0	1
362	None	Japan	B.1	20A	12	0	1
363	None	Japan	B.1.36	20A	13	0	1
364	None	Japan	B.1	20C	10	0	1
365	None	Japan	B.1.1	20B	11	0	1
366	None	Japan	B.1.1.28	20B	9	0	1
367	None	Japan	B.1.558	20A	16	0	1
368	None	Japan	B.1.240	20A	8	0	1
369	None	Japan	B.6	19A	14	0	1
370	None	Japan	B.1.1.63	20B	14	0	1
371	None	Japan	B.1.1.63	20B	12	0	1
372	None	Japan	B.1.1.63	20B	12	0	1
373	None	Japan	B.6	19A	11	0	1
374	None	Japan	B.1.1	20B	13	0	1
375	None	Japan	B.1.1.63	20B	11	0	1
376	None	Japan	C.14	20D	17	0	1
377	None	Japan	C.14	20D	17	0	1
378	None	Japan	B.1.1.63	20B	14	0	1
379	None	Japan	B.1.1	20B	10	0	1
380	None	Japan	B.1.1.225	20B	15	0	1
381	None	Japan	B.6	19A	12	0	1
382	None	Japan	B.1.609	20A	9	0	1
383	None	Japan	B.1.1.263	20B	11	0	1
384	None	Japan	B.1.369	20C	14	0	1
385	None	Japan	B.6	19A	11	0	1
386	None	Japan	B.1.471	20A	14	0	11
387	None	Japan	B.1.1.63	20B	13	0	1
388	None	Japan	B.1.36	20A	11	0	4
389	None	Japan	B.1.1	20B	13	0	1
390	None	Japan	B.1.1	20B	8	0	1
391	None	Japan	C.14	20D	17	0	1
392	None	Japan	B.6	19A	10	0	1
393	None	Japan	B.1.1.263	20B	12	0	1
394	None	Japan	B.1.1.63	20B	10	0	1
395	None	Japan	B.1	20A	9	0	1
396	None	Japan	B.1.2	20G	18	0	1
397	None	Japan	B.1.36	20A	15	0	4
398	None	Japan	B.1.1.63	20B	12	0	4
399	None	Japan	B.1.1.63	20B	10	0	1
400	None	Japan	B.1.1.28	20B	8	0	1
401	None	Japan	B.1.1.28	20B	10	0	1
402	None	Japan	B.1.1.63	20B	12	0	1
403	None	Japan	B.1.1.354	20B	11	0	1
404	None	Japan	B.1.210	20A	10	0	1
405	None	Japan	B.1.1.263	20B	11	0	1
406	None	Japan	B.1.1.354	20B	15	0	1
407	None	Japan	B.1.1	20B	8	0	1
408	None	Japan	B.1.1.354	20B	10	0	1
409	None	Japan	B.1.1.354	20B	10	0	1
410	None	Japan	B.1.1.171	20B	12	0	1
411	None	Japan	B.1.1.28	20B	15	0	1
412	None	Japan	B.1.1.263	20B	9	0	1
413	None	Japan	B.1.1	20B	14	0	1
414	None	Japan	B.1.1.63	20B	17	0	1
415	None	Japan	B.1.1.63	20B	13	0	1
416	None	Japan	B.1.1.221	20B	16	0	1
417	None	Japan	B.1.160	20A.EU2	22	0	1
418	None	Japan	B.1.160	20A.EU2	23	0	1
419	None	Japan	B.1.1	20B	12	0	1
420	None	Japan	B.1	20A	8	0	1
421	None	Japan	AM.2	20B	13	0	4
422	None	Japan	B.1.1.28	20B	17	0	1
423	None	Japan	B.1.1.63	20B	13	0	1
424	None	Japan	B.1.1.263	20B	15	0	1
425	None	Japan	B.1.1.63	20B	15	0	1
426	None	Japan	B.1.1	20B	17	0	1
427	None	Japan	AM.2	20B	13	0	4
428	None	Japan	B.1.1.54	20B	12	0	1
429	None	Japan	B.1	20A	13	0	1
430	None	Japan	B.1.36	20A	12	0	1
431	None	Japan	B.1.36	20A	12	0	1
432	None	Japan	B.1.1.263	20B	15	0	10
433	None	Japan	B.1.1	20B	20	0	1
434	None	Japan	B.1.36	20A	23	0	1
435	None	Japan	B.1.1.63	20B	12	0	119
436	None	Japan	B.1.1.302	20B	17	0	1
437	None	Japan	B.1.1	20B	11	0	1
438	None	Japan	B.1.1.74	20B	13	0	4
439	None	Japan	B.1.441	20A	18	0	1
440	None	Japan	B.1.1.182	20B	15	0	1
441	None	Japan	B.1.1	20B	16	0	1
442	None	Japan	B.1.36.17	20A	19	0	1
443	None	Japan	B.1.1	20B	16	0	1
444	None	Japan	B.1.1	20B	11	0	1
445	None	Japan	B.1.1.63	20B	14	0	1
446	None	Japan	B.1.1	20B	8	0	1
447	None	Japan	B.1.480	20A	11	0	1
448	None	Japan	B.1.1.216	20B	14	0	1
449	None	Japan	B.1.36	20A	17	0	1
450	None	Japan	B.1.1.216	20B	18	0	1
451	None	Japan	B.1.1.63	20B	15	0	1
452	None	Japan	B.1.36	20A	21	0	1
453	None	Japan	B.1.36	20A	19	0	1
454	None	Japan	B.1.258	20A	17	0	7
455	None	Japan	B.1.1	20B	17	0	4
456	None	Japan	B.1.1	20B	14	0	1
457	None	Japan	B.1	20C	7	0	1
458	None	Japan	B.1.459	20A	11	0	1
459	None	Japan	B.1.243	20A	12	0	1
460	None	Japan	B.1.243	20A	14	0	1
461	None	Japan	B.1.1.28	20B	16	0	1
462	None	Japan	B.1.554	20A	13	0	1
463	None	Japan	B.1.1	20B	16	0	1
464	None	Japan	B.1.459	20A	10	0	1
465	None	Japan	B.1.210	20A	9	0	1
466	None	Japan	B.1.1.63	20B	15	0	1
467	None	Japan	B.1.1.28	20B	10	0	1
468	None	Japan	B.1.1.28	20B	11	0	1
469	None	Japan	B.1.369	20C	14	0	1
470	None	Japan	B.1	20A	15	0	1
471	None	Japan	B.1.459	20A	12	0	1
472	None	Japan	B.1.1	20B	11	0	1
473	None	Japan	B.1.1	20B	11	0	1
474	None	Japan	B.1.1.63	20B	11	0	1
475	None	Japan	B.1.1.63	20B	12	0	10
476	None	Japan	B.1.1.63	20B	14	0	1
477	None	Japan	B.1.1.63	20B	14	0	1
478	None	Japan	B.1.1.63	20B	16	0	1
479	None	Japan	B.1.1.63	20B	16	0	1
480	None	Japan	B.1.1.28	20B	10	0	1
481	None	Japan	B.1.1.28	20B	10	0	1
482	None	Japan	B.1.1.63	20B	12	0	1
483	None	Japan	B.1	20A	12	0	1
484	None	Japan	B.1.1.63	20B	15	0	1
485	None	Japan	B.1.1	20B	7	0	1
486	None	Japan	B.1.1.398	20B	10	0	1
487	None	Japan	B.6	19A	14	0	1
488	None	Japan	B.6	19A	13	0	1
489	None	Japan	B.1.1	20B	16	0	1
490	None	Japan	B.1.1.63	20B	16	0	1
491	None	Japan	B.1.1.63	20B	15	0	1
492	None	Japan	B.1.497	20C	12	0	1
493	None	Japan	B.1.1.28	20B	14	0	1
494	None	Japan	B.1.1.63	20B	15	0	1
495	None	Japan	B.1.471	20A	12	0	1
496	None	Japan	B.1.336	20C	22	0	4
497	None	Japan	B.1.258	20A	18	0	7
498	None	Japan	B.1.1.316	20B	18	0	1
499	None	Japan	B.1.36	20A	15	0	1
500	None	Japan	B.1.1.216	20B	17	0	1
501	None	Japan	B.1.36	20A	16	0	1
502	None	Japan	B.1.36	20A	11	0	1
503	None	Japan	B.1.1	20B	15	0	1
504	None	Japan	B.1.1	20B	14	0	1
505	None	Japan	B.1.1	20B	13	0	1
506	None	Japan	B.1.1	20B	15	0	1
507	None	Japan	B.1.36	20A	14	0	1
508	None	Japan	B.1.1.354	20B	17	0	1
509	None	Japan	B.1.1	20B	13	0	1
510	None	Japan	B.1.1.74	20B	14	0	4
511	None	Japan	B.1.1	20B	11	0	1
512	None	Japan	B.1.1.117	20B	16	0	1
513	None	Japan	B.1.1	20B	16	0	1
514	None	Japan	AM.1	20B	14	0	1
515	None	Japan	B.1.1	20A	15	0	1
516	None	Japan	B.1.36	20A	20	0	1
517	None	Japan	B.1.1.521	20B	17	0	4
518	None	Japan	B.1.36.24	20A	17	0	1
519	None	Japan	B.1.36	20A	19	0	7
520	None	Japan	B.1.1.25	20B	14	0	239
521	None	Japan	B.1.160	20A.EU2	22	0	1
522	None	Japan	B.1.459	20A	21	0	1
523	None	Japan	B.1.459	20A	17	0	1
524	None	Japan	B.1.1.25	20B	23	0	1
525	None	Japan	B.1.1.170	20B	16	0	1
526	None	Japan	B.1.36	20A	14	0	1
527	None	Japan	B.1.459	20A	21	0	1
528	None	Japan	B.1.1.274	20B	15	0	1
529	None	Japan	B.1.1	20B	20	0	1
530	None	Japan	B.1.2	20G	23	0	1
531	None	Japan	B.1.1.16	20B	23	0	1
532	None	Japan	B.1.2	20G	20	0	1
533	None	Japan	B.1.243	20A	12	0	1
534	None	Japan	B.1.160	20A.EU2	21	0	1
535	None	Japan	B.1.36	20A	20	0	1
536	None	Japan	B.1.1.28	20B	14	0	1
537	None	Japan	B.1.160	20A.EU2	24	0	1
538	None	Japan	B.1.36	20A	18	0	1
539	None	Japan	B.1.471	20A	18	0	1
540	None	Japan	B.1	20A	24	0	1
541	None	Japan	B.1	20A	23	0	1
542	None	Japan	B.1	20A	23	0	1
543	None	Japan	B.1	20A	23	0	1
544	None	Japan	B.1	20A	23	0	1
545	None	Japan	B.1	20A	23	0	1
546	None	Japan	B.1	20A	23	0	1
547	None	Japan	B.1	20A	23	0	1
548	None	Japan	B.1	20A	23	0	1
549	None	Japan	B.1	20A	23	0	1
550	None	Japan	B.1	20A	23	0	1
551	None	Japan	B.1	20A	23	0	1
552	None	Japan	B.1	20A	23	0	1
553	None	Japan	B.1.1	20B	18	0	1
554	None	Japan	B.1.1	20B	12	0	1
555	None	Japan	B.1.1	20B	13	0	1
556	20200129	Japan	B	19A	4	0	1
557	20200125	Japan	B	19A	0	0	1
558	20200423	Japan	B.1.1	20B	11	0	1
559	20200423	Japan	B.1.1.465	20B	11	0	1
560	20200424	Japan	B.1.1.465	20B	10	0	1
561	20200424	Japan	B.1.1.465	20B	11	0	1
562	20200424	Japan	B.1.1.465	20B	9	0	1
563	20200314	Japan	A	19B	5	0	1
564	20200313	Japan	A.16	19B	4	0	1
565	20200320	Japan	A.16	19B	5	0	1
566	20200313	Japan	A.16	19B	5	0	1
567	20200410	Japan	A	19B	6	0	1
568	20200413	Japan	A	19B	6	0	1
569	20200123	Japan	B	19A	0	0	1
570	20200308	Japan	B.1	20A	5	0	1
571	20200310	Japan	B.1	20A	5	0	1
572	20200310	Japan	B.1	20A	5	0	1
573	20200309	Japan	B.1	20A	6	0	1
574	20200320	Japan	B.1	20A	6	0	1
575	20200311	Japan	B.1.1	20B	6	0	1
576	20200312	Japan	B.1.1	20B	6	0	1
577	20200312	Japan	B.1.1	20B	6	0	1
578	20200317	Japan	B.1.1	20B	6	0	1
579	20200318	Japan	B.1.1	20B	6	0	1
580	20200320	Japan	B.1.1	20B	7	0	1
581	20200320	Japan	B.1.1	20B	7	0	1
582	20200319	Japan	B.1.1	20B	9	0	1
583	20200312	Japan	B.1.1	20B	6	0	1
584	20200313	Japan	B.1.1	20B	6	0	1
585	20200313	Japan	B.1.1	20B	7	0	1
586	None	Japan	B.12	19A	3	0	1
587	None	Japan	B.12	19A	2	0	1
588	None	Japan	B.12	19A	2	0	1
589	None	Japan	B.12	19A	3	0	1
590	None	Japan	B.1	20C	5	0	1
591	20200218	Japan	B.12	19A	5	0	1
592	20200218	Japan	B.12	19A	4	0	1
593	20200120	Japan	B.12	19A	2	0	1
594	20200120	Japan	B.12	19A	3	0	1
595	None	Japan	B.12	19A	2	0	1
596	20200225	Japan	B.12	19A	2	0	1
597	20200228	Japan	B.12	19A	1	0	1
598	20200229	Japan	B.12	19A	1	0	1
599	20200304	Japan	A	19B	6	0	1
600	20200304	Japan	A	19B	6	0	1
601	20200305	Japan	A	19B	5	0	1
602	20200306	Japan	B.12	19A	2	0	1
603	None	Japan	A	19B	6	0	1
604	None	Japan	A	19B	6	0	1
605	None	Japan	A	19B	8	0	1
606	20200301	Japan	B.12	19A	2	0	1
607	20200303	Japan	B.12	19A	2	0	1
608	20200303	Japan	B.12	19A	3	0	1
609	20200305	Japan	A	19B	5	0	1
610	20200306	Japan	B.12	19A	2	0	1
611	20200307	Japan	B.12	19A	3	0	1
612	20200307	Japan	B.12	19A	3	0	1
613	20200308	Japan	A	19B	5	0	1
614	20200308	Japan	A	19B	5	0	1
615	20200302	Japan	A	19B	5	0	1
616	20200308	Japan	A	19B	5	0	1
617	20200301	Japan	A	19B	5	0	1
618	20200215	Japan	B.12	19A	2	0	1
619	None	Japan	B	19A	2	0	1
620	20200226	Japan	B.12	19A	3	0	1
621	20200227	Japan	B.12	19A	3	0	1
622	None	Japan	B.12	19A	2	0	1
623	20200227	Japan	B.12	19A	3	0	1
624	None	Japan	B.12	19A	5	0	1
625	20200228	Japan	B.12	19A	2	0	1
626	20200228	Japan	B.12	19A	2	0	1
627	None	Japan	B.12	19A	3	0	1
628	20200302	Japan	B.12	19A	2	0	1
629	20200302	Japan	B.12	19A	2	0	1
630	20200302	Japan	A	19B	5	0	1
631	None	Japan	B.12	19A	3	0	1
632	20200304	Japan	B.12	19A	2	0	1
633	None	Japan	B.12	19A	3	0	1
634	None	Japan	B.12	19A	3	0	1
635	20200304	Japan	A	19B	5	0	1
636	20200305	Japan	B.12	19A	3	0	1
637	None	Japan	B.12	19A	2	0	1
638	20200306	Japan	B.12	19A	3	0	1
639	20200306	Japan	B.12	19A	3	0	1
640	None	Japan	B.12	19A	2	0	1
641	None	Japan	B.12	19A	4	0	1
